Continent,Country
Central Asia,"Afghanistan Islamic Rep. of"
Southern Europe,"Albania"
Northern Africa,"Algeria"
Oceania,"American Samoa"
Europe,"Andorra Principality of"
Africa,"Angola"
Northern America,"Anguilla"
Northern America,"Antigua and Barbuda" 
Latin America and the Caribbean,"Argentina"
Western Asia,"Armenia Rep. of""
Northern America,"Aruba Kingdom of" the Netherlands"
Australia and New Zealand,"Australia"
Europe,"Austria"
Western Asia,"Azerbaijan Rep. of"
Northern America,"Bahamas The" 
Western Asia,"Bahrain Kingdom of"
Southern Asia,"Bangladesh"
Northern America,"Barbados"
Eastern Europe,"Belarus Rep. of"
Western Europe,"Belgium"
Northern America,"Belize"
Africa,"Benin"
Southern Asia,"Bhutan"
Latin America and the Caribbean,"Bolivia"
Europe,"Bosnia and Herzegovina"
Africa,"Botswana"
Latin America and the Caribbean,"Brazil"
Northern America,"British Virgin Islands"
Eastern Asia,"Brunei Darussalam"
Eastern Europe,"Bulgaria"
Africa,"Burkina Faso"
Africa,"Burundi"
Africa,"Cabo Verde"
Eastern Asia,"Cambodia"
Africa,"Cameroon"
Northern America,"Canada"
Northern America,"Cayman Islands"
Africa,"Central African Rep."
Africa,"Chad"
Latin America and the Caribbean,"Chile"
Eastern Asia,"China P.R.: Hong Kong"
Eastern Asia,"China P.R.: Macao"
Eastern Asia,"China P.R.: Mainland" 
Latin America and the Caribbean,"Colombia"
Africa,"Comoros Union of the"
Africa,"Congo Dem. Rep. of the"
Africa,"Congo Rep. of"
Oceania,"Cook Islands"
Northern America,"Costa Rica"
Europe,"Croatia Rep. of"
Northern America,"Cuba"
Western Asia,"Cyprus"
Eastern Europe,"Czech Rep."
Northern Europe,"Denmark"
Africa,"Djibouti"
Northern America,"Dominica"
Northern America,"Dominican Rep."
Latin America and the Caribbean,"Ecuador"
Northern Africa,"Egypt Arab Rep. of"
Northern America,"El Salvador"
Africa,"Equatorial Guinea Rep. of"
Africa,"Eritrea The State of"
Northern Europe,"Estonia Rep. of"
Africa,"Eswatini Kingdom of"
Africa,"Ethiopia The Federal Dem. Rep. of" 
Latin America and the Caribbean,"Falkland Islands (Malvinas)"
Europe,"Faroe Islands"
Oceania,"Fiji Rep. of"
Northern Europe,"Finland"
Western Europe,"France"
Oceania,"French Polynesia"
Africa,"Gabon"
Africa,"Gambia The"
Western Asia,"Georgia"
Europe,"Germany"
Africa,"Ghana"
Europe,"Gibraltar"
Southern Europe,"Greece"
Northern America,"Greenland"
Northern America,"Grenada"
Northern America,"Guadeloupe"
Northern America,"Guatemala"
Africa,"Guinea"
Africa,"Guinea-Bissau"
Latin America and the Caribbean,"Guyana"
Northern America,"Haiti"
Europe,"Holy See"
Northern America,"Honduras"
Eastern Europe,"Hungary"
Europe,"Iceland"
Southern Asia,"India"
Eastern Asia,"Indonesia"
Asia,"Iran Islamic Rep. of"
Western Asia,"Iraq"
Western Europe,"Ireland"
Europe,"Isle of Man"
Western Asia,"Israel"
Southern Europe,"Italy"
Northern America,"Jamaica"
Eastern Asia,"Japan"
Western Asia,"Jordan"
Central Asia,"Kazakhstan Rep. of"
Africa,"Kenya"
Oceania,"Kiribati"
Eastern Asia,"Korea Dem. People's Rep. of"
Eastern Asia,"Korea Rep. of" 
Western Asia,"Kuwait"
Central Asia,"Kyrgyz Rep."
Eastern Asia,"Lao People's Dem. Rep."
Northern Europe,"Latvia"
Western Asia,"Lebanon"
Africa,"Lesotho Kingdom of"
Africa,"Liberia"
Northern Africa,"Libya"
Europe,"Liechtenstein"
Northern Europe,"Lithuania"
Western Europe,"Luxembourg"
Africa,"Madagascar Rep. of"
Africa,"Malawi"
Eastern Asia,"Malaysia"
