continentName,ghgYear,co2concentration
Advanced Economies                                ,2010Q1,        31192.12
Advanced Economies                                ,2010Q2,        29745.61
Advanced Economies                                ,2010Q3,        30135.84
Advanced Economies                                ,2010Q4,         31396.5
Advanced Economies                                ,2011Q1,        31369.16
Advanced Economies                                ,2011Q2,        29443.39
Advanced Economies                                ,2011Q3,        29845.19
Advanced Economies                                ,2011Q4,        29913.65
Advanced Economies                                ,2012Q1,        30649.06
Advanced Economies                                ,2012Q2,        28785.03
Advanced Economies                                ,2012Q3,        29215.34
Advanced Economies                                ,2012Q4,        30045.62
Advanced Economies                                ,2013Q1,        30954.69
Advanced Economies                                ,2013Q2,        29192.95
Advanced Economies                                ,2013Q3,         29187.4
Advanced Economies                                ,2013Q4,        30305.96
Advanced Economies                                ,2014Q1,        30898.92
Advanced Economies                                ,2014Q2,        28629.53
Advanced Economies                                ,2014Q3,        28783.19
Advanced Economies                                ,2014Q4,         29953.7
Advanced Economies                                ,2015Q1,        30890.63
Advanced Economies                                ,2015Q2,        28711.03
Advanced Economies                                ,2015Q3,        28990.62
Advanced Economies                                ,2015Q4,        28689.67
Advanced Economies                                ,2016Q1,        28207.36
Advanced Economies                                ,2016Q2,         26630.4
Advanced Economies                                ,2016Q3,        27174.94
Advanced Economies                                ,2016Q4,        27964.22
Advanced Economies                                ,2017Q1,        28131.26
Advanced Economies                                ,2017Q2,        26687.15
Advanced Economies                                ,2017Q3,        26939.37
Advanced Economies                                ,2017Q4,        28013.53
Advanced Economies                                ,2018Q1,        28650.96
Advanced Economies                                ,2018Q2,        26697.12
Advanced Economies                                ,2018Q3,        26967.64
Advanced Economies                                ,2018Q4,        28176.85
Advanced Economies                                ,2019Q1,        28275.38
Advanced Economies                                ,2019Q2,        26297.47
Advanced Economies                                ,2019Q3,        26404.94
Advanced Economies                                ,2019Q4,        26982.96
Advanced Economies                                ,2020Q1,        26327.58
Advanced Economies                                ,2020Q2,        22190.12
Advanced Economies                                ,2020Q3,        24379.07
Advanced Economies                                ,2020Q4,        25326.18
Advanced Economies                                ,2021Q1,        26032.31
Advanced Economies                                ,2021Q2,        24981.51
Advanced Economies                                ,2021Q3,        25164.51
Advanced Economies                                ,2021Q4,        25998.42
Advanced Economies                                ,2022Q1,        26754.71
Advanced Economies                                ,2022Q2,        25180.99
Advanced Economies                                ,2022Q3,        25380.14
Advanced Economies                                ,2022Q4,         25831.5
Advanced Economies                                ,2023Q1,         25862.1
Advanced Economies                                ,2023Q2,        24364.43
Africa                                            ,2010Q1,         5592.61
Africa                                            ,2010Q2,         5767.27
Africa                                            ,2010Q3,         5854.74
Africa                                            ,2010Q4,         5759.03
Africa                                            ,2011Q1,         5745.29
Africa                                            ,2011Q2,          5789.4
Africa                                            ,2011Q3,         5757.53
Africa                                            ,2011Q4,         5730.21
Africa                                            ,2012Q1,         5908.34
Africa                                            ,2012Q2,          6033.2
Africa                                            ,2012Q3,         6049.54
Africa                                            ,2012Q4,         6172.43
Africa                                            ,2013Q1,         6080.43
Africa                                            ,2013Q2,         6165.55
Africa                                            ,2013Q3,         6122.06
Africa                                            ,2013Q4,         6153.84
Africa                                            ,2014Q1,         6158.07
