SEALEVELYEAR,CONTINENTNAME,UNIT,GMSL
1993,World                                             ,mm        ,-34.61
1994,World                                             ,mm        ,-30.95
1995,World                                             ,mm        ,-28.65
1996,World                                             ,mm        ,-26.6
1997,World                                             ,mm        ,-22.68
1998,World                                             ,mm        ,-25.06
1999,World                                             ,mm        ,-21.81
2000,World                                             ,mm        ,-18.43
2001,World                                             ,mm        ,-13.22
2002,World                                             ,mm        ,-9.37
2003,World                                             ,mm        ,-6.32
2004,World                                             ,mm        ,-4.43
2005,World                                             ,mm        ,-0.03
2006,World                                             ,mm        ,1.09
2007,World                                             ,mm        ,1.49
2008,World                                             ,mm        ,3.55
2009,World                                             ,mm        ,8.41
2010,World                                             ,mm        ,9.39
2011,World                                             ,mm        ,8.43
2012,World                                             ,mm        ,19.26
2013,World                                             ,mm        ,21.3
2014,World                                             ,mm        ,24.85
2015,World                                             ,mm        ,35.42
2016,World                                             ,mm        ,37.56
2017,World                                             ,mm        ,38.38
2018,World                                             ,mm        ,42.41
2019,World                                             ,mm        ,49.3
2020,World                                             ,mm        ,49.72
2021,World                                             ,mm        ,50.03
